From ricesim2022 - ciab.000
JDAY		DATE	SRAD	TMAX	TMIN	RAIN	WIND
334	'11/29/2000'	18.1	31.7	24.4	1.9	5.4
335	'11/30/2000'	20	32	24.2	0	5.04
336	'12/01/2000'	20.1	31.6	24.4	0	5.4
337	'12/02/2000'	18.3	31.7	24.5	0	6.12
338	'12/03/2000'	19.1	32.2	25.1	0	5.04
339	'12/04/2000'	19.9	32.8	24.9	0	5.4
340	'12/05/2000'	18.9	32.2	24.8	0	5.76
341	'12/06/2000'	18	31.6	24.6	3.1	6.12
342	'12/07/2000'	18.5	31.6	24.9	0	5.04
343	'12/08/2000'	17.4	32.9	24.8	0	2.88
344	'12/09/2000'	19.8	31.4	24.3	0	6.12
345	'12/10/2000'	17.7	31	24.5	5.5	5.4
346	'12/11/2000'	13.3	30.7	24.4	3.4	5.04
347	'12/12/2000'	21.1	33.2	23.8	0	2.52
348	'12/13/2000'	12.5	32.9	24.9	0	2.16
349	'12/14/2000'	17.4	31.5	24.7	0	3.96
350	'12/15/2000'	19	32	24.5	0	6.12
351	'12/16/2000'	19.2	32.8	24.4	0	6.48
352	'12/17/2000'	17.9	33.2	25.8	0	3.6
353	'12/18/2000'	16.9	32.4	25.4	0	7.56
354	'12/19/2000'	17.6	31.9	24.8	0	8.28
355	'12/20/2000'	17.6	31.5	24	0	11.88
356	'12/21/2000'	17.6	31.4	23.3	0	10.8
357	'12/22/2000'	13.5	30.7	23.7	0	10.44
358	'12/23/2000'	15.9	31	23.6	6.4	9
359	'12/24/2000'	12.9	31.2	23.8	16.3	9
360	'12/25/2000'	19	31	24.1	0	6.84
361	'12/26/2000'	19.3	31.7	23.7	0	6.84
362	'12/27/2000'	18.5	31.8	23.2	0	7.2
363	'12/28/2000'	18.3	31.6	23.6	0	9.72
364	'12/29/2000'	16.2	31.6	23.8	0	8.28
365	'12/30/2000'	18.7	31.7	23.9	0	6.84
366	'12/31/2000'	17.5	31	23.5	0	9

