                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44657.1667  04/06/2022        0.0000       30.5744        0.0000        0.0000        0.0000        0.0000
  44657.2083  04/06/2022        0.0000       30.5778        0.0000        0.0000        0.0000        0.0000
  44657.2500  04/06/2022        0.0000       30.5812        0.0000        0.0000        0.0000        0.0000
  44657.2917  04/06/2022        0.0000       30.5791        0.0000        0.0000        0.0000        0.0000
  44657.3333  04/06/2022        0.0000       30.4673        0.0000        0.0000        0.0000        0.0000
  44657.3750  04/06/2022        0.0000       29.7896        0.0000        0.0000        0.0000        0.0000
  44657.4167  04/06/2022        0.0000       29.5163        0.0000        0.0000        0.0000        0.0000
  44657.4583  04/06/2022        0.0000       27.6379        0.0000        0.0000        0.0000        0.0000
  44657.5000  04/06/2022        0.0000       27.3222        0.0000        0.0000        0.0000        0.0000
  44657.5417  04/06/2022        0.0000       27.3747        0.0000        0.0000        0.0000        0.0000
  44657.5833  04/06/2022        0.0000       27.3752        0.0000        0.0000        0.0000        0.0000
  44657.6250  04/06/2022        0.0000       27.4346        0.0000        0.0000        0.0000        0.0000
  44657.6667  04/06/2022        0.0000       27.5577        0.0000        0.0000        0.0000        0.0000
  44657.7083  04/06/2022        0.0000       29.3296        0.0000        0.0000        0.0000        0.0000
  44657.7500  04/06/2022        0.0000       29.7237        0.0000        0.0000        0.0000        0.0000
  44657.7917  04/06/2022        0.0000       30.1094        0.0000        0.0000        0.0000        0.0000
  44657.8333  04/06/2022        0.0000       30.2977        0.0000        0.0000        0.0000        0.0000
  44657.8750  04/06/2022        0.0000       30.4974        0.0000        0.0000        0.0000        0.0000
  44657.9167  04/06/2022        0.0000       30.5084        0.0000        0.0000        0.0000        0.0000
  44657.9583  04/06/2022        0.0000       30.3221        0.0000        0.0000        0.0000        0.0000
  44658.0000  04/07/2022        0.0000       30.5148        0.0000        0.0000        0.0000        0.0000
  44658.0417  04/07/2022        0.0000       30.3666        0.0000        0.0000        0.0000        0.0000
  44658.0833  04/07/2022        0.0000       30.5570        0.0000        0.0000        0.0000        0.0000
  44658.1250  04/07/2022        0.0000       30.5622        0.0000        0.0000        0.0000        0.0000
  44658.1667  04/07/2022        0.0000       30.5674        0.0000        0.0000        0.0000        0.0000
  44658.2083  04/07/2022        0.0000       30.5725        0.0000        0.0000        0.0000        0.0000
  44658.2500  04/07/2022        0.0000       30.5776        0.0000        0.0000        0.0000        0.0000
  44658.2917  04/07/2022        0.0000       30.5813        0.0000        0.0000        0.0000        0.0000
  44658.3333  04/07/2022        0.0000       30.5365        0.0000        0.0000        0.0000        0.0000
  44658.3750  04/07/2022        0.0000       30.0959        0.0000        0.0000        0.0000        0.0000
  44658.4167  04/07/2022        0.0000       29.3928        0.0000        0.0000        0.0000        0.0000
  44658.4583  04/07/2022        0.0000       27.4599        0.0000        0.0000        0.0000        0.0000
  44658.5000  04/07/2022        0.0000       27.0638        0.0000        0.0000        0.0000        0.0000
  44658.5417  04/07/2022        0.0000       26.8009        0.0000        0.0000        0.0000        0.0000
  44658.5833  04/07/2022        0.0000       26.7702        0.0000        0.0000        0.0000        0.0000
  44658.6250  04/07/2022        0.0000       26.8293        0.0000        0.0000        0.0000        0.0000
  44658.6667  04/07/2022        0.0000       27.0133        0.0000        0.0000        0.0000        0.0000
  44658.7083  04/07/2022        0.0000       27.4360        0.0000        0.0000        0.0000        0.0000
  44658.7500  04/07/2022        0.0000       29.4385        0.0000        0.0000        0.0000        0.0000
  44658.7917  04/07/2022        0.0000       30.0989        0.0000        0.0000        0.0000        0.0000
  44658.8333  04/07/2022        0.0000       30.3314        0.0000        0.0000        0.0000        0.0000
  44658.8750  04/07/2022        0.0000       30.5370        0.0000        0.0000        0.0000        0.0000
  44658.9167  04/07/2022        0.0000       30.5582        0.0000        0.0000        0.0000        0.0000
  44658.9583  04/07/2022        0.0000       30.5678        0.0000        0.0000        0.0000        0.0000
  44659.0000  04/08/2022        0.0000       30.5761        0.0000        0.0000        0.0000        0.0000
  44659.0417  04/08/2022        0.0000       30.5492        0.0000        0.0000        0.0000        0.0000
  44659.0833  04/08/2022        0.0000       30.5609        0.0000        0.0000        0.0000        0.0000
  44659.1250  04/08/2022        0.0000       30.5726        0.0000        0.0000        0.0000        0.0000
  44659.1667  04/08/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44659.2083  04/08/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44659.2500  04/08/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44659.2917  04/08/2022        0.0000       30.5812        0.0000        0.0000        0.0000        0.0000
  44659.3333  04/08/2022        0.0000       30.5357        0.0000        0.0000        0.0000        0.0000
  44659.3750  04/08/2022        0.0000       30.1136        0.0000        0.0000        0.0000        0.0000
  44659.4167  04/08/2022        0.0000       29.4520        0.0000        0.0000        0.0000        0.0000
  44659.4583  04/08/2022        0.0000       27.4810        0.0000        0.0000        0.0000        0.0000
  44659.5000  04/08/2022        0.0000       27.0340        0.0000        0.0000        0.0000        0.0000
  44659.5417  04/08/2022        0.0000       26.7748        0.0000        0.0000        0.0000        0.0000
  44659.5833  04/08/2022        0.0000       26.3277        0.0000        0.0000        0.0000        0.0000
  44659.6250  04/08/2022        0.0000       26.3713        0.0000        0.0000        0.0000        0.0000
  44659.6667  04/08/2022        0.0000       26.5137        0.0000        0.0000        0.0000        0.0000
  44659.7083  04/08/2022        0.0000       26.9541        0.0000        0.0000        0.0000        0.0000
  44659.7500  04/08/2022        0.0000       27.4292        0.0000        0.0000        0.0000        0.0000
  44659.7917  04/08/2022        0.0000       30.0005        0.0000        0.0000        0.0000        0.0000
  44659.8333  04/08/2022        0.0000       30.2659        0.0000        0.0000        0.0000        0.0000
  44659.8750  04/08/2022        0.0000       30.4733        0.0000        0.0000        0.0000        0.0000
  44659.9167  04/08/2022        0.0000       30.4940        0.0000        0.0000        0.0000        0.0000
  44659.9583  04/08/2022        0.0000       30.5134        0.0000        0.0000        0.0000        0.0000
  44660.0000  04/09/2022        0.0000       30.5326        0.0000        0.0000        0.0000        0.0000
  44660.0417  04/09/2022        0.0000       30.5516        0.0000        0.0000        0.0000        0.0000
  44660.0833  04/09/2022        0.0000       30.5598        0.0000        0.0000        0.0000        0.0000
